type,category,name,symbol,unit,price,change,change_percent,weekly_percent,monthly_percent,ytd_percent,yoy_percent,date,url,scraped_at
commodity,Livestock,Eggs CH,Eggs CH,CNY/T,4062.0,51.0,1.27,-0.9,-12.87,38.59,21.18,Aug/05,https://tradingeconomics.com/commodity/eggs-ch,2026-08-06T12:18:04.903251
commodity,Livestock,Salmon,Salmon,NOK/KG,72.79,0.71,0.99,0.99,-2.22,-4.06,1.56,Jul/31,https://tradingeconomics.com/commodity/salmon,2026-08-06T12:18:04.903314
commodity,Index,CRB Index,CRB Index,Index Points,479.85,1.4,0.29,-2.78,3.69,28.13,32.68,Aug/05,https://tradingeconomics.com/commodity/crb,2026-08-06T12:18:04.903504
commodity,Index,GSCI,GSCI,Index Points,655.11,0.03,0.01,-4.19,3.75,19.43,21.58,Aug/06,https://tradingeconomics.com/commodity/gsci,2026-08-06T12:18:04.903566
commodity,Index,SSE Commodity Index,SSE Commodity Index,Index Points,7203.96,94.05,-1.29,-1.2,4.29,-10.09,-12.68,Aug/06,https://tradingeconomics.com/commodity/consume-commodity-index,2026-08-06T12:18:04.903636
commodity,Index,Containerized Freight Index,Containerized Freight Index,Points,3205.97,0.0,0.0,4.67,-3.63,93.56,106.74,Aug/06,https://tradingeconomics.com/commodity/containerized-freight-index,2026-08-06T12:18:04.903694
commodity,Index,EU Carbon Permits,EU Carbon Permits,EUR,81.53,0.43,0.53,-0.6,-0.32,-6.68,14.85,Aug/06,https://tradingeconomics.com/commodity/carbon,2026-08-06T12:18:04.903757
commodity,Index,Wind Energy Index,Wind Energy Index,USD,23.45,0.47,-1.96,1.56,-5.79,14.67,22.9,Aug/05,https://tradingeconomics.com/commodity/wind,2026-08-06T12:18:04.903812
commodity,Index,Nuclear Energy Index,Nuclear Energy Index,USD,43.1,0.14,0.33,8.4,3.21,0.16,5.9,Aug/06,https://tradingeconomics.com/commodity/nuclear,2026-08-06T12:18:04.903867
commodity,Index,Solar Energy Index,Solar Energy Index,USD,51.0,0.2,0.39,2.64,-7.59,3.95,39.46,Aug/06,https://tradingeconomics.com/commodity/solar,2026-08-06T12:18:04.903927
commodity,Electricity,United Kingdom,United Kingdom,GBP/MWh,110.33,5.67,-4.89,-9.89,15.53,34.65,41.27,Aug/05,https://tradingeconomics.com/united-kingdom/electricity-price,2026-08-06T12:18:04.904085
commodity,Electricity,Germany,Germany,EUR/MWh,118.94,4.44,-3.6,14.84,22.24,21.68,51.09,Aug/05,https://tradingeconomics.com/germany/electricity-price,2026-08-06T12:18:04.904140
commodity,Electricity,France,France,EUR/MWh,60.38,2.21,-3.53,-8.61,4.12,19.21,-2.61,Aug/05,https://tradingeconomics.com/france/electricity-price,2026-08-06T12:18:04.904196
commodity,Electricity,Italy,Italy,EUR/MWh,198.35,9.5,-4.57,8.72,39.33,80.54,75.22,Aug/06,https://tradingeconomics.com/italy/electricity-price,2026-08-06T12:18:04.904251
commodity,Electricity,Spain,Spain,EUR/MWh,109.51,9.4,-7.91,-14.81,-3.9,11.95,30.28,Aug/06,https://tradingeconomics.com/spain/electricity-price,2026-08-06T12:18:04.904314
